tour,start,end,startPos,endPos
1,324,354,0,4
1,383,426,4,1
1,447,485,1,4
1,514,557,4,1
1,578,616,1,4
1,624,667,4,1
1,688,726,1,4
1,734,777,4,1
1,798,836,1,4
1,844,887,4,1
1,908,946,1,4
1,954,997,4,1
1,1018,1056,1,4
1,1064,1107,4,1
1,1128,1166,1,4
1,1200,1254,4,1
1,1264,1302,1,4
1,1336,1390,4,1
1,1400,1452,1,0
2,341,393,0,5
2,405,435,5,5
2,447,481,5,0
3,389,440,0,7
3,470,490,7,0
4,411,459,0,9
4,489,531,9,5
4,543,574,5,9
4,604,646,9,5
4,658,689,5,9
4,719,770,9,4
4,795,826,4,9
4,857,908,9,4
4,919,950,4,9
4,981,1032,9,4
4,1043,1074,4,9
4,1105,1156,9,4
4,1167,1202,4,0
5,1127,1161,0,5
5,1192,1214,5,8
5,1237,1269,8,0
