tour,start,end,startPos,endPos
1,213,260,0,7
1,276,305,7,7
1,321,350,7,7
1,366,395,7,7
1,411,440,7,7
1,456,485,7,7
1,502,531,7,7
1,548,577,7,7
1,594,623,7,7
1,640,669,7,7
1,686,715,7,7
1,732,761,7,7
1,778,807,7,7
1,824,853,7,7
1,870,921,7,9
1,941,992,9,9
1,1012,1063,9,9
1,1081,1132,9,9
1,1150,1201,9,9
1,1219,1270,9,9
1,1288,1308,9,0
2,216,255,0,9
2,268,301,9,7
2,312,336,7,9
2,349,382,9,7
2,393,415,7,6
2,431,464,6,7
2,476,498,7,6
2,522,555,6,7
2,567,589,7,6
2,613,646,6,7
2,658,680,7,6
2,704,737,6,7
2,754,776,7,6
2,800,833,6,7
2,850,872,7,6
2,896,929,6,7
2,936,958,7,6
2,982,1015,6,7
2,1022,1044,7,6
2,1068,1101,6,7
2,1131,1153,7,6
2,1177,1216,6,0
3,222,269,0,7
3,293,346,7,3
3,378,406,3,5
3,412,441,5,0
4,234,278,0,3
4,286,333,3,9
4,361,421,9,8
4,425,474,8,3
4,482,529,3,9
4,557,617,9,8
4,621,680,8,9
4,687,734,9,9
4,764,806,9,4
4,819,878,4,9
4,885,905,9,6
4,920,962,6,4
4,975,1034,4,9
4,1041,1061,9,6
4,1076,1118,6,4
4,1131,1176,4,4
4,1185,1205,4,6
4,1220,1262,6,4
4,1275,1320,4,4
4,1330,1350,4,6
4,1365,1407,6,4
4,1420,1470,4,8
4,1474,1494,8,0
5,240,277,0,8
5,306,365,8,7
5,381,408,7,3
5,434,463,3,8
5,475,530,8,0
6,245,278,0,6
6,290,339,6,6
6,355,406,6,7
6,441,494,7,0
7,248,296,0,4
7,322,359,4,7
7,375,407,7,8
7,439,481,8,4
7,507,544,4,7
7,560,592,7,8
7,624,666,8,4
7,692,729,4,7
7,745,777,7,8
7,809,851,8,4
7,877,914,4,7
7,930,982,7,9
7,1004,1046,9,4
7,1072,1092,4,2
7,1110,1162,2,9
7,1184,1226,9,4
7,1252,1273,4,0
8,251,273,0,2
8,293,325,2,2
8,345,397,2,4
8,404,431,4,0
9,258,288,0,8
9,296,340,8,5
9,359,397,5,8
9,408,452,8,5
9,471,491,5,0
10,277,299,0,8
10,328,355,8,8
10,384,440,8,0
11,284,332,0,9
11,346,374,9,1
11,382,419,1,6
11,427,486,6,9
11,500,528,9,1
11,536,573,1,6
11,581,640,6,9
11,654,682,9,1
11,690,727,1,6
11,735,794,6,9
11,808,836,9,1
11,844,881,1,6
11,913,972,6,9
11,986,1014,9,1
11,1022,1059,1,6
11,1091,1150,6,9
11,1164,1192,9,1
11,1200,1241,1,0
12,287,323,0,1
12,352,410,1,7
12,436,478,7,0
13,288,316,0,8
13,330,351,8,7
13,356,400,7,5
13,434,460,5,8
13,474,495,8,7
13,500,544,7,5
13,578,604,5,8
13,618,639,8,7
13,644,688,7,5
13,722,748,5,8
13,762,783,8,7
13,788,825,7,3
13,831,857,3,8
13,864,885,8,7
13,890,927,7,3
13,942,968,3,8
13,975,996,8,7
13,1001,1038,7,3
13,1053,1079,3,8
13,1086,1107,8,7
13,1112,1149,7,3
13,1164,1197,3,8
13,1224,1249,8,0
14,289,310,0,7
14,331,382,7,5
14,387,447,5,3
14,468,522,3,0
15,297,327,0,6
15,341,372,6,6
15,386,417,6,6
15,431,476,6,4
15,503,548,4,4
15,575,620,4,4
15,647,692,4,4
15,719,764,4,4
15,791,836,4,4
15,846,891,4,4
15,924,969,4,4
15,1002,1047,4,4
15,1080,1125,4,4
15,1158,1178,4,0
16,305,352,0,8
16,357,408,8,6
16,421,480,6,8
16,485,544,8,8
16,549,600,8,6
16,613,635,6,2
16,669,728,2,8
16,733,784,8,6
16,797,819,6,2
16,853,912,2,8
16,917,968,8,6
16,981,1007,6,9
16,1010,1069,9,8
16,1074,1125,8,6
16,1138,1164,6,9
16,1167,1226,9,8
16,1231,1251,8,0
17,307,355,0,6
17,370,412,6,6
17,427,469,6,6
17,484,504,6,0
18,309,336,0,8
18,358,381,8,7
18,403,453,7,8
18,475,498,8,7
18,520,570,7,8
18,604,627,8,7
18,649,699,7,8
18,733,790,8,6
18,817,867,6,8
18,901,958,8,6
18,985,1035,6,8
18,1069,1126,8,6
18,1153,1203,6,8
18,1237,1294,8,6
18,1306,1326,6,0
19,313,351,0,1
19,377,419,1,1
19,439,493,1,0
20,314,340,0,5
20,369,411,5,8
20,434,455,8,6
20,460,502,6,8
20,519,540,8,6
20,545,587,6,8
20,604,625,8,6
20,630,672,6,8
20,689,738,8,6
20,765,807,6,8
20,824,873,8,6
20,900,942,6,8
20,959,1008,8,6
20,1035,1077,6,8
20,1094,1115,8,3
20,1120,1162,3,8
20,1179,1234,8,9
20,1240,1263,9,0
21,319,364,0,7
21,383,412,7,7
21,431,460,7,7
21,479,508,7,7
21,527,556,7,7
21,575,604,7,7
21,623,652,7,7
21,671,700,7,7
21,719,748,7,7
